10	1990	2000	3.50
31	1969	2000	10.85
36	1964	2000	12.60
22	1978	2000	7.70
-3	2003	2000	-1.05
-26	2026	2000	-9.10
-36	2036	2000	-12.60
-28	2028	2000	-9.80
-7	2007	2000	-2.45
18	1982	2000	6.30
34	1966	2000	11.90
32	1968	2000	11.20
14	1986	2000	4.90
-11	2011	2000	-3.85
-30	2030	2000	-10.50
-35	2035	2000	-12.25
-22	2022	2000	-7.70
1	1999	2000	0.35
25	1975	2000	8.75
36	1964	2000	12.60
28	1972	2000	9.80
6	1994	2000	2.10
-19	2019	2000	-6.65
-34	2034	2000	-11.90
-33	2033	2000	-11.55
-15	2015	2000	-5.25
10	1990	2000	3.50
30	1970	2000	10.50
35	1965	2000	12.25
22	1978	2000	7.70
-3	2003	2000	-1.05
-26	2026	2000	-9.10
-36	2036	2000	-12.60
-28	2028	2000	-9.80
-7	2007	2000	-2.45
18	1982	2000	6.30
34	1966	2000	11.90
32	1968	2000	11.20
14	1986	2000	4.90
-11	2011	2000	-3.85
-30	2030	2000	-10.50
-2035	2035	0	-712.25
-2022	2022	0	-707.70
-1996	1996	0	-698.60
-1959	1959	0	-685.65
-1915	1915	0	-670.25
-1865	1865	0	-652.75
-1811	1811	0	-633.85
-1754	1754	0	-613.90
-1695	1695	0	-593.25
-1634	1634	0	-571.90
-1572	1572	0	-550.20
-1508	1508	0	-527.80
-1443	1443	0	-505.05
-1378	1378	0	-482.30
-1312	1312	0	-459.20
-1246	1246	0	-436.10
-1180	1180	0	-413.00
-1114	1114	0	-389.90
-1046	1046	0	-366.10
-980	980	0	-343.00
-912	912	0	-319.20
-845	845	0	-295.75
-778	778	0	-272.30
-710	710	0	-248.50
-643	643	0	-225.05
-575	575	0	-201.25
-508	508	0	-177.80
-440	440	0	-154.00
-372	372	0	-130.20
-305	305	0	-106.75
-237	237	0	-82.95
-170	170	0	-59.50
-102	102	0	-35.70
-34	34	0	-11.90
34	-34	0	11.90
88	-88	0	30.80
115	-115	0	40.25
117	-117	0	40.95
101	-101	0	35.35
72	-72	0	25.20
34	-34	0	11.90
-12	12	0	-4.20
-52	52	0	-18.20
-70	70	0	-24.50
-67	67	0	-23.45
-46	46	0	-16.10
-14	14	0	-4.90
23	-23	0	8.05
50	-50	0	17.50
54	-54	0	18.90
40	-40	0	14.00
13	-13	0	4.55
-20	20	0	-7.00
-44	44	0	-15.40
-47	47	0	-16.45
-31	31	0	-10.85
-4	4	0	-1.40
27	-27	0	9.45
44	-44	0	15.40
41	-41	0	14.35
22	-22	0	7.70
-7	7	0	-2.45
-32	32	0	-11.20
-42	42	0	-14.70
-32	32	0	-11.20
-9	9	0	-3.15
20	-20	0	7.00
38	-38	0	13.30
39	-39	0	13.65
24	-24	0	8.40
-3	3	0	-1.05
-28	28	0	-9.80
-40	40	0	-14.00
-33	33	0	-11.55
-12	12	0	-4.20
16	-16	0	5.60
36	-36	0	12.60
38	-38	0	13.30
22	-22	0	7.70
-5	5	0	-1.75
-30	30	0	-10.50
-38	38	0	-13.30
-28	28	0	-9.80
-4	4	0	-1.40
22	-22	0	7.70
38	-38	0	13.30
34	-34	0	11.90
14	-14	0	4.90
-14	14	0	-4.90
-34	34	0	-11.90
-37	37	0	-12.95
-21	21	0	-7.35
6	-6	0	2.10
30	-30	0	10.50
38	-38	0	13.30
28	-28	0	9.80
4	-4	0	1.40
-22	22	0	-7.70
-38	38	0	-13.30
-34	34	0	-11.90
-14	14	0	-4.90
14	-14	0	4.90
36	-36	0	12.60
39	-39	0	13.65
24	-24	0	8.40
-2	2	0	-0.70
-28	28	0	-9.80
-39	39	0	-13.65
-31	31	0	-10.85
-8	8	0	-2.80
19	-19	0	6.65
38	-38	0	13.30
36	-36	0	12.60
18	-18	0	6.30
-10	10	0	-3.50
-32	32	0	-11.20
-37	37	0	-12.95
-24	24	0	-8.40
2	-2	0	0.70
26	-26	0	9.10
38	-38	0	13.30
30	-30	0	10.50
8	-8	0	2.80
-18	18	0	-6.30
-36	36	0	-12.60
-35	35	0	-12.25
-16	16	0	-5.60
12	-12	0	4.20
34	-34	0	11.90
38	-38	0	13.30
22	-22	0	7.70
-3	3	0	-1.05
-27	27	0	-9.45
-37	37	0	-12.95
-28	28	0	-9.80
-5	5	0	-1.75
20	-20	0	7.00
36	-36	0	12.60
34	-34	0	11.90
14	-14	0	4.90
-13	13	0	-4.55
-34	34	0	-11.90
-36	36	0	-12.60
-20	20	0	-7.00
6	-6	0	2.10
29	-29	0	10.15
38	-38	0	13.30
27	-27	0	9.45
4	-4	0	1.40
-22	22	0	-7.70
-37	37	0	-12.95
-32	32	0	-11.20
-12	12	0	-4.20
14	-14	0	4.90
34	-34	0	11.90
36	-36	0	12.60
20	-20	0	7.00
-6	6	0	-2.10
-29	29	0	-10.15
-37	37	0	-12.95
-26	26	0	-9.10
-2	2	0	-0.70
22	-22	0	7.70
36	-36	0	12.60
32	-32	0	11.20
12	-12	0	4.20
-15	15	0	-5.25
-34	34	0	-11.90
-35	35	0	-12.25
-18	18	0	-6.30
8	-8	0	2.80
30	-30	0	10.50
38	-38	0	13.30
26	-26	0	9.10
2	-2	0	0.70
-24	24	0	-8.40
-37	37	0	-12.95
-32	32	0	-11.20
-10	10	0	-3.50
17	-17	0	5.95
36	-36	0	12.60
36	-36	0	12.60
18	-18	0	6.30
-8	8	0	-2.80
-30	30	0	-10.50
-37	37	0	-12.95
-25	25	0	-8.75
0	0	0	0.00
24	-24	0	8.40
36	-36	0	12.60
30	-30	0	10.50
9	-9	0	3.15
