-2.42	61.96	3.49
-2.42	61.96	3.49
-2.42	61.96	3.49
-2.42	61.96	3.49
-2.42	61.96	3.49
-2.42	61.96	3.49
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-2.42	53.45	0.00
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-8.48	64.39	3.49
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-50.86	36.45	-5.82
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-67.81	27.94	-32.59
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-66.60	31.59	-75.66
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-43.59	42.52	-111.75
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
-4.84	30.37	-115.24
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
37.54	32.80	-97.78
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
49.65	36.45	-77.99
47.23	29.16	-48.89
47.23	29.16	-48.89
47.23	29.16	-48.89
47.23	29.16	-48.89
47.23	29.16	-48.89
47.23	29.16	-48.89
47.23	29.16	-48.89
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
32.70	21.87	-34.92
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
26.64	72.89	-13.97
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
25.43	94.76	-22.12
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
14.53	119.05	-51.22
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-3.63	126.34	-69.84
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-25.43	120.27	-82.65
-60.55	100.83	-81.48
-60.55	100.83	-81.48
