-4	4	0	-0.19
-14	14	0	0.97
-22	22	0	1.40
-29	29	0	1.32
-36	36	0	0.92
-42	42	0	0.06
-46	46	0	-1.35
-48	48	0	-3.21
-46	46	0	-5.71
-38	38	0	-8.91
-21	21	0	-12.96
7	-7	0	-17.69
45	-45	0	-22.47
90	-90	0	-26.43
141	-141	0	-29.11
196	-196	0	-29.97
254	-254	0	-28.68
314	-314	0	-24.98
376	-376	0	-18.76
439	-439	0	-9.81
502	-502	0	2.07
556	-556	0	18.07
588	-588	0	39.52
592	-592	0	66.22
576	-576	0	95.80
546	-546	0	126.51
507	-507	0	157.04
461	-461	0	186.71
410	-410	0	214.91
355	-355	0	241.29
298	-298	0	265.40
238	-238	0	287.26
176	-176	0	306.62
114	-114	0	323.10
50	-50	0	336.98
-14	14	0	347.89
-79	79	0	355.97
-144	144	0	361.05
-210	210	0	363.24
-276	276	0	362.38
-342	342	0	358.46
-408	408	0	351.48
-474	474	0	341.45
-541	541	0	328.49
-608	608	0	312.43
-674	674	0	293.14
-741	741	0	270.91
-808	808	0	245.59
-874	874	0	217.03
-942	942	0	185.67
-1008	1008	0	150.90
-1076	1076	0	113.34
-1142	1142	0	72.37
-1210	1210	0	28.60
-1276	1276	0	-18.59
-1330	1330	0	-70.44
-1354	1354	0	-128.83
-1354	1354	0	-191.55
-1334	1334	0	-256.96
-1302	1302	0	-323.05
-1260	1260	0	-389.01
-1212	1212	0	-453.82
-1159	1159	0	-517.09
-1102	1102	0	-578.43
-1043	1043	0	-637.41
-982	982	0	-693.92
-919	919	0	-747.87
-855	855	0	-799.04
-790	790	0	-847.38
-725	725	0	-892.71
-659	659	0	-935.16
-592	592	0	-974.68
-526	526	0	-1010.97
-458	458	0	-1044.48
-392	392	0	-1074.56
-324	324	0	-1101.85
-257	257	0	-1125.86
-190	190	0	-1146.77
-122	122	0	-1164.70
-55	55	0	-1179.36
12	-12	0	-1190.90
80	-80	0	-1199.48
148	-148	0	-1204.91
215	-215	0	-1207.06
283	-283	0	-1206.23
350	-350	0	-1202.12
418	-418	0	-1195.05
486	-486	0	-1184.82
553	-553	0	-1171.30
620	-620	0	-1154.69
688	-688	0	-1135.10
756	-756	0	-1112.37
823	-823	0	-1086.35
891	-891	0	-1057.36
958	-958	0	-1025.08
1026	-1026	0	-989.84
1094	-1094	0	-951.45
1161	-1161	0	-909.77
1229	-1229	0	-865.12
1296	-1296	0	-817.19
1364	-1364	0	-766.29
1432	-1432	0	-712.24
1499	-1499	0	-654.91
1567	-1567	0	-594.60
1634	-1634	0	-531.02
1702	-1702	0	-464.46
1770	-1770	0	-394.75
